,GHG,Gen Capacity
2022,17.8,229.30214
2023,18.8,167.02017
2024,19.7,263.21023
2025,20.8,260.31618
2026,21.9,133.95245
2027,23.0,115.40729
2028,24.2,115.07782
2029,25.5,109.21358
2030,26.9,65.536771
2031,28.3,74.363198
2032,29.8,72.204896
2033,31.4,65.101352
2034,33.0,54.491057
2035,45.202215,36.0
2036,55.618229,36.0
2037,66.851514,36.0
2038,78.99375,36.0
2039,91.058931,36.0
2040,103.15315,36.0
2041,118.63576,36.0
2042,136.03377,36.0
2043,153.58224,36.0
2044,143.54717,36.0
2045,160.67748,36.0
2046,160.67748,36.0
2047,160.67748,36.0
2048,160.67748,36.0
2049,160.67748,36.0
2050,160.67748,36.0
2051,160.67748,36.0
2052,160.67748,36.0
2053,160.67748,36.0
2054,160.67748,36.0
2055,160.67748,36.0
2056,160.67748,36.0
2057,160.67748,36.0
2058,160.67748,36.0
2059,160.67748,36.0
2060,160.67748,36.0
2061,160.67748,36.0
2062,160.67748,36.0
2063,160.67748,36.0
2064,160.67748,36.0
2065,160.67748,36.0
2066,160.67748,36.0
2067,160.67748,36.0
2068,160.67748,36.0
2069,160.67748,36.0
2070,160.67748,36.0
2071,160.67748,36.0
2072,160.67748,36.0
2073,160.67748,36.0
2074,160.67748,36.0
2075,160.67748,36.0
2076,160.67748,36.0
2077,160.67748,36.0
2078,160.67748,36.0
2079,160.67748,36.0
