year,Fixed Cost,Net Energy + AS Revenue,Gen Cap Value,GHG Cost,GHG Value,Resource,Vintage
2022,120390,35881.33993,229302.14,0.0,8949.8521752,generic_battery_4hr,2022
2023,120390,39067.45224,164524.22726032682,0.0,9669.3910844,generic_battery_4hr,2022
2024,120390,19047.50885,157010.95576707978,0.0,8775.3873792,generic_battery_4hr,2022
2025,120390,20128.36113,129020.25786923483,0.0,9276.50899344,generic_battery_4hr,2022
2026,120390,18357.88623,66390.7239312431,0.0,9867.81422217,generic_battery_4hr,2022
2027,120390,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2022
2028,120390,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2022
2029,120390,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2022
2030,120390,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2022
2031,120390,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2022
2032,120390,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2022
2033,120390,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2022
2034,120390,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2022
2035,120390,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2022
2036,120390,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2022
2037,120390,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2022
2038,120390,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2022
2039,120390,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2022
2040,120390,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2022
2041,120390,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2022
2023,107770,39067.45224,164524.22726032682,0.0,9669.3910844,generic_battery_4hr,2023
2024,107770,19047.50885,157010.95576707978,0.0,8775.3873792,generic_battery_4hr,2023
2025,107770,20128.36113,129020.25786923483,0.0,9276.50899344,generic_battery_4hr,2023
2026,107770,18357.88623,66390.7239312431,0.0,9867.81422217,generic_battery_4hr,2023
2027,107770,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2023
2028,107770,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2023
2029,107770,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2023
2030,107770,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2023
2031,107770,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2023
2032,107770,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2023
2033,107770,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2023
2034,107770,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2023
2035,107770,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2023
2036,107770,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2023
2037,107770,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2023
2038,107770,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2023
2039,107770,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2023
2040,107770,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2023
2041,107770,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2023
2042,107770,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2023
2024,99760,19047.50885,157010.95576707978,0.0,8775.3873792,generic_battery_4hr,2024
2025,99760,20128.36113,129020.25786923483,0.0,9276.50899344,generic_battery_4hr,2024
2026,99760,18357.88623,66390.7239312431,0.0,9867.81422217,generic_battery_4hr,2024
2027,99760,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2024
2028,99760,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2024
2029,99760,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2024
2030,99760,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2024
2031,99760,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2024
2032,99760,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2024
2033,99760,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2024
2034,99760,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2024
2035,99760,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2024
2036,99760,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2024
2037,99760,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2024
2038,99760,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2024
2039,99760,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2024
2040,99760,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2024
2041,99760,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2024
2042,99760,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2024
2043,99760,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2024
2025,93580,20128.36113,129020.25786923483,0.0,9276.50899344,generic_battery_4hr,2025
2026,93580,18357.88623,66390.7239312431,0.0,9867.81422217,generic_battery_4hr,2025
2027,93580,18028.26916,57199.20412088703,0.0,10402.5288168,generic_battery_4hr,2025
2028,93580,14167.58495,57035.909221737165,0.0,10396.507479819998,generic_battery_4hr,2025
2029,93580,12719.69623,54129.42159193604,0.0,10700.88457875,generic_battery_4hr,2025
2030,93580,28940.39732,32481.9267643563,0.0,12397.675779449999,generic_battery_4hr,2025
2031,93580,26915.93175,33306.5661412959,0.0,12707.502041810001,generic_battery_4hr,2025
2032,93580,29860.212,28892.923435506564,0.0,13346.864632300001,generic_battery_4hr,2025
2033,93580,31464.41583,26050.427091314723,0.0,13495.1570294,generic_battery_4hr,2025
2034,93580,34258.65166,21804.69781191602,0.0,14366.6506962,generic_battery_4hr,2025
2035,93580,38491.5866,14405.46696,0.0,20476.162772848624,generic_battery_4hr,2025
2036,93580,40443.7116,13086.149472000001,0.0,24621.283512403756,generic_battery_4hr,2025
2037,93580,42977.82663,11766.831984,0.0,29918.427735922116,generic_battery_4hr,2025
2038,93580,45849.42161,10447.514496000002,0.0,36357.38739453563,generic_battery_4hr,2025
2039,93580,49238.66233,9128.196972,0.0,43269.80688491577,generic_battery_4hr,2025
2040,93580,53369.34392,7808.879484,0.0,51194.60296009942,generic_battery_4hr,2025
2041,93580,52993.42986,7808.879484,0.0,57065.77184737889,generic_battery_4hr,2025
2042,93580,53296.53991,7808.879484,0.0,64066.54447029729,generic_battery_4hr,2025
2043,93580,53940.90524,7808.879484,0.0,71698.74019098404,generic_battery_4hr,2025
2044,93580,54994.44033,7808.879484,0.0,67314.87849672059,generic_battery_4hr,2025
