resource,vintage,Fixed Cost,Net Energy + AS Revenue,Gen Cap Value,GHG Cost,GHG Value
generic_battery_4hr,2022,1238971.8178019014,310243.76483899297,755291.7276955235,0.0,173436.32730459247
generic_battery_4hr,2023,1052272.656596224,296253.94153009215,571701.8579350117,0.0,184316.85667976126
generic_battery_4hr,2024,924158.0101100764,280704.5021047668,447317.2961854456,0.0,196136.21436032452
generic_battery_4hr,2025,822493.0210693611,280822.349669223,334785.4393249416,0.0,206885.2326336165
generic_battery_4hr,2026,747248.4918689287,280830.35923653597,247388.96413764605,0.0,219029.1707457591
generic_battery_4hr,2027,677475.9818240029,282000.3833005802,205590.2196005229,0.0,230162.70568042088
generic_battery_4hr,2028,612516.0975304884,283315.78917595,171658.5776017435,0.0,240392.74568094622
generic_battery_4hr,2029,552291.7290281813,286845.50038703904,139561.87758414156,0.0,250102.22464773193
generic_battery_4hr,2030,498792.790069458,291006.2461889328,110739.3534154646,0.0,259143.58085845227
generic_battery_4hr,2031,467532.41743167234,286324.3892623123,94909.99981013867,0.0,266819.0226061719
generic_battery_4hr,2032,438530.86876245565,282904.2387203414,79475.40512172651,0.0,273944.84213416127
generic_battery_4hr,2033,409773.4407306684,278249.34176590724,66945.20547166896,0.0,280399.40041942406
generic_battery_4hr,2034,385603.85875390476,273104.060472062,56348.45962895088,0.0,286455.8930624237
generic_battery_4hr,2035,360965.2409636662,267017.8714462214,48124.837814664235,0.0,291826.4141420229
generic_battery_4hr,2036,339169.76413844514,259512.28275048317,43348.73008207228,0.0,294423.07352927484
generic_battery_4hr,2037,319174.4613880152,251633.74133899415,39329.25769796057,0.0,295278.25233089365
generic_battery_4hr,2038,300027.1984903057,243225.90220707352,36001.427283135745,0.0,294139.4576580156
generic_battery_4hr,2039,283140.54010314046,234245.80205602926,33304.91905898648,0.0,290809.9346423474
generic_battery_4hr,2040,265239.9203759664,224602.60235385544,31183.77856913096,0.0,285360.2467078137
generic_battery_4hr,2041,248771.30542236762,214154.698394605,29586.127674697298,0.0,277698.07108422136
generic_battery_4hr,2042,234516.14587705946,204354.2144847611,28070.329862141647,0.0,268677.03386242525
generic_battery_4hr,2043,219533.9512741499,194970.05482524063,26632.191520058488,0.0,258136.77888342825
generic_battery_4hr,2044,206895.10040932626,185893.64933780197,25267.733889998563,0.0,246087.10159861413
generic_battery_4hr,2045,193777.76986484413,177013.85237449536,23973.18205882216,0.0,235771.63592908063
generic_battery_4hr,2046,181432.33221142497,167944.8314748533,22744.95451501154,0.0,223692.25420216375
generic_battery_4hr,2047,170699.92991555567,159340.44731959517,21579.653240048898,0.0,212231.74022975686
generic_battery_4hr,2048,159620.9070445118,151176.8949901282,20474.054307446775,0.0,201358.3873147598
generic_battery_4hr,2049,149875.8195646619,143431.58917469467,19425.098963421984,0.0,191042.1132018594
generic_battery_4hr,2050,140238.27345787574,136083.10168377103,18429.885164536987,0.0,181254.37685185904
generic_solar,2022,798976.4493432225,687361.1470082122,2501.4490804436864,0.0,304012.08358156396
generic_solar,2023,741371.4362548228,627908.1185478742,1935.4991205837887,0.0,296104.6729315667
generic_solar,2024,654017.9556257575,578930.9862499615,1601.955286714905,0.0,289569.45477443846
generic_solar,2025,605182.5334941369,524062.34236317966,1107.137748642066,0.0,280950.3699098646
generic_solar,2026,697432.8208553201,474053.2470557692,780.2888644527324,0.0,272594.1259571172
generic_solar,2027,648675.3589362409,423549.78824975446,621.4250214901987,0.0,263236.5674742495
generic_solar,2028,595576.7528952247,374684.3335573409,492.47282202097557,0.0,253513.78413008657
generic_solar,2029,545608.3395925001,330716.97128465836,392.77325859130207,0.0,244423.32915916384
generic_solar,2030,498619.9029657668,287999.70944948995,307.1982917518323,0.0,234906.07787356924
generic_solar,2031,469712.123894764,258137.16348354143,265.59254435890495,0.0,228483.0938547508
generic_solar,2032,442383.4487142337,229332.2490111703,216.78903190573183,0.0,221755.1576709256
generic_solar,2033,416622.1262407244,203863.2118585848,175.31490365083081,0.0,215561.61326324375
generic_solar,2034,392406.058630689,182243.2645115627,140.44060705824106,0.0,210156.68023688774
generic_solar,2035,369514.40972459276,163907.15962492238,113.28512118458447,0.0,205493.96628644524
generic_solar,2036,347938.3833419921,148432.28481400115,98.91854944266957,0.0,199407.18138661864
generic_solar,2037,327660.28332263447,135024.38499817075,86.05649954516673,0.0,192549.84324004388
generic_solar,2038,308546.72531687486,123361.32118236233,74.58251821622642,0.0,185110.8230825874
generic_solar,2039,290480.27895837545,113186.39812450441,64.38813561312828,0.0,177229.49422355287
generic_solar,2040,273455.15117918974,104274.88569031033,55.372341032889906,0.0,169124.89474163693
generic_solar,2041,257412.06331293847,96433.79119942186,48.02591334151988,0.0,160930.24792674085
generic_solar,2042,242338.91591518492,89689.12582279045,42.06283185221448,0.0,152607.72901247028
generic_solar,2043,228093.00227629743,83874.37004474929,37.36062267788277,0.0,144181.27364828106
generic_solar,2044,214670.71577261467,78845.04634573891,33.805779203011575,0.0,135791.86563593007
generic_solar,2045,202062.49529537358,74481.5324926719,31.293022159119136,0.0,129159.58234075608
generic_solar,2046,190147.19635093756,70665.59060025799,29.68977434451531,0.0,122542.29823601144
generic_solar,2047,178922.4339305608,67045.15237216128,28.168666361020218,0.0,116264.04007211712
generic_solar,2048,168348.72697367266,63610.20149161411,26.725489906091283,0.0,110307.43839859308
generic_solar,2049,158419.16423060137,60351.23481177809,25.356252282819057,0.0,104656.01366090425
generic_solar,2050,149007.59471529067,57259.23606430559,24.05716535371827,0.0,99294.13060806853
