,Year,GHG ($2022/tonne),Gen Capacity ($2022/kW-yr)
0,2024,91.36675,87.228507
1,2025,92.61523,89.901611
2,2026,93.86371,118.10004
3,2027,95.11219,134.84787
4,2028,96.36067,113.47709
5,2029,140.6589,38.74058
6,2030,216.59041,38.74058
7,2031,238.69627,38.74058
8,2032,253.49744,38.74058
9,2033,272.34631,38.74058
10,2034,225.64505,38.74058
11,2035,233.44137833333332,38.74058
12,2036,241.23770666666667,38.74058
13,2037,249.03403500000002,38.74058
14,2038,256.83036333333337,38.74058
15,2039,264.62669166666666,38.74058
16,2040,272.42302,38.74058
17,2041,277.45506,38.74058
18,2042,282.4871,38.74058
19,2043,287.51914,38.74058
20,2044,292.55118,38.74058
21,2045,297.58322,38.74058
22,2046,297.58322,38.74058
23,2047,297.58322,38.74058
24,2048,297.58322,38.74058
25,2049,297.58322,38.74058
26,2050,297.58322,38.74058
27,2051,297.58322,38.74058
28,2052,297.58322,38.74058
29,2053,297.58322,38.74058
30,2054,297.58322,38.74058
31,2055,297.58322,38.74058
32,2056,297.58322,38.74058
33,2057,297.58322,38.74058
34,2058,297.58322,38.74058
35,2059,297.58322,38.74058
36,2060,297.58322,38.74058
37,2061,297.58322,38.74058
38,2062,297.58322,38.74058
39,2063,297.58322,38.74058
40,2064,297.58322,38.74058
41,2065,297.58322,38.74058
42,2066,297.58322,38.74058
43,2067,297.58322,38.74058
44,2068,297.58322,38.74058
45,2069,297.58322,38.74058
46,2070,297.58322,38.74058
47,2071,297.58322,38.74058
48,2072,297.58322,38.74058
49,2073,297.58322,38.74058
50,2074,297.58322,38.74058
