year,Fixed Cost per MW,Net Energy + AS Revenue per MW,Operational Capacity,Net Energy + AS Revenue,Fixed Cost,Gen Cap Value,GHG Cost,GHG Value,Resource,Vintage
2024,169927.7225,70566.96797,1,70566.96797,169927.7225,68797.48433523344,0.0,30563.2701462229,generic_battery_4hr,2024
2025,169927.7225,61378.69268,1,61378.69268,169927.7225,70905.7725186647,0.0,37643.257276484976,generic_battery_4hr,2024
2026,169927.7225,53351.66094,1,53351.66094,169927.7225,78161.10298874555,0.0,40126.527469222754,generic_battery_4hr,2024
2027,169927.7225,57617.08913,1,57617.08913,169927.7225,69544.53089311294,0.0,43639.54539977716,generic_battery_4hr,2024
2028,169927.7225,63701.05933,1,63701.05933,169927.7225,54802.64831306382,0.0,48615.10689436021,generic_battery_4hr,2024
2029,169927.7225,72400.07895,1,72400.07895,169927.7225,17439.248589082483,0.0,81110.78385476595,generic_battery_4hr,2024
2030,169927.7225,78949.395,1,78949.395,169927.7225,16169.11380233012,0.0,133933.53929432546,generic_battery_4hr,2024
2031,169927.7225,80880.5771,1,80880.5771,169927.7225,16169.11380233012,0.0,151149.38402900513,generic_battery_4hr,2024
2032,169927.7225,82950.29696,1,82950.29696,169927.7225,16169.11380233012,0.0,163295.66555498203,generic_battery_4hr,2024
2033,169927.7225,87602.57307,1,87602.57307,169927.7225,16169.11380233012,0.0,182781.23344129932,generic_battery_4hr,2024
2034,169927.7225,89289.70442,1,89289.70442,169927.7225,16169.11380233012,0.0,153016.00253625237,generic_battery_4hr,2024
2035,169927.7225,87439.31567,1,87439.31567,169927.7225,15398.07530237864,0.0,153924.8114620545,generic_battery_4hr,2024
2036,169927.7225,87990.60511,1,87990.60511,169927.7225,14627.03676368658,0.0,159665.2662408239,generic_battery_4hr,2024
2037,169927.7225,91461.07727,1,91461.07727,169927.7225,13855.998263735099,0.0,169235.2402912361,generic_battery_4hr,2024
2038,169927.7225,96898.63074,1,96898.63074,169927.7225,13084.959725043042,0.0,181942.95749061625,generic_battery_4hr,2024
2039,169927.7225,103607.0638,1,103607.0638,169927.7225,12313.92122509156,0.0,196384.6043693066,generic_battery_4hr,2024
2040,169927.7225,111629.2501,1,111629.2501,169927.7225,11542.882686399502,0.0,211339.08455616032,generic_battery_4hr,2024
2041,169927.7225,111412.2484,1,111412.2484,169927.7225,10771.84418644802,0.0,208686.8139697462,generic_battery_4hr,2024
2042,169927.7225,114001.0597,1,114001.0597,169927.7225,9136.53825195912,0.0,208884.88479469254,generic_battery_4hr,2024
2043,169927.7225,116275.9999,1,116275.9999,169927.7225,7501.23231747022,0.0,212403.02337283242,generic_battery_4hr,2024
2025,169927.7225,61378.69268,1,61378.69268,169927.7225,70905.7725186647,0.0,37643.257276484976,generic_battery_4hr,2025
2026,169927.7225,53351.66094,1,53351.66094,169927.7225,78161.10298874555,0.0,40126.527469222754,generic_battery_4hr,2025
2027,169927.7225,57617.08913,1,57617.08913,169927.7225,69544.53089311294,0.0,43639.54539977716,generic_battery_4hr,2025
2028,169927.7225,63701.05933,1,63701.05933,169927.7225,54802.64831306382,0.0,48615.10689436021,generic_battery_4hr,2025
2029,169927.7225,72400.07895,1,72400.07895,169927.7225,17439.248589082483,0.0,81110.78385476595,generic_battery_4hr,2025
2030,169927.7225,78949.395,1,78949.395,169927.7225,16169.11380233012,0.0,133933.53929432546,generic_battery_4hr,2025
2031,169927.7225,80880.5771,1,80880.5771,169927.7225,16169.11380233012,0.0,151149.38402900513,generic_battery_4hr,2025
2032,169927.7225,82950.29696,1,82950.29696,169927.7225,16169.11380233012,0.0,163295.66555498203,generic_battery_4hr,2025
2033,169927.7225,87602.57307,1,87602.57307,169927.7225,16169.11380233012,0.0,182781.23344129932,generic_battery_4hr,2025
2034,169927.7225,89289.70442,1,89289.70442,169927.7225,16169.11380233012,0.0,153016.00253625237,generic_battery_4hr,2025
2035,169927.7225,87439.31567,1,87439.31567,169927.7225,15398.07530237864,0.0,153924.8114620545,generic_battery_4hr,2025
2036,169927.7225,87990.60511,1,87990.60511,169927.7225,14627.03676368658,0.0,159665.2662408239,generic_battery_4hr,2025
2037,169927.7225,91461.07727,1,91461.07727,169927.7225,13855.998263735099,0.0,169235.2402912361,generic_battery_4hr,2025
2038,169927.7225,96898.63074,1,96898.63074,169927.7225,13084.959725043042,0.0,181942.95749061625,generic_battery_4hr,2025
2039,169927.7225,103607.0638,1,103607.0638,169927.7225,12313.92122509156,0.0,196384.6043693066,generic_battery_4hr,2025
2040,169927.7225,111629.2501,1,111629.2501,169927.7225,11542.882686399502,0.0,211339.08455616032,generic_battery_4hr,2025
2041,169927.7225,111412.2484,1,111412.2484,169927.7225,10771.84418644802,0.0,208686.8139697462,generic_battery_4hr,2025
2042,169927.7225,114001.0597,1,114001.0597,169927.7225,9136.53825195912,0.0,208884.88479469254,generic_battery_4hr,2025
2043,169927.7225,116275.9999,1,116275.9999,169927.7225,7501.23231747022,0.0,212403.02337283242,generic_battery_4hr,2025
2044,169927.7225,120016.2146,1,120016.2146,169927.7225,5865.926382981321,0.0,217364.69203297322,generic_battery_4hr,2025
2026,171639.291,53351.66094,1,53351.66094,171639.291,78161.10298874555,0.0,40126.527469222754,generic_battery_4hr,2026
2027,171639.291,57617.08913,1,57617.08913,171639.291,69544.53089311294,0.0,43639.54539977716,generic_battery_4hr,2026
2028,171639.291,63701.05933,1,63701.05933,171639.291,54802.64831306382,0.0,48615.10689436021,generic_battery_4hr,2026
2029,171639.291,72400.07895,1,72400.07895,171639.291,17439.248589082483,0.0,81110.78385476595,generic_battery_4hr,2026
2030,171639.291,78949.395,1,78949.395,171639.291,16169.11380233012,0.0,133933.53929432546,generic_battery_4hr,2026
2031,171639.291,80880.5771,1,80880.5771,171639.291,16169.11380233012,0.0,151149.38402900513,generic_battery_4hr,2026
2032,171639.291,82950.29696,1,82950.29696,171639.291,16169.11380233012,0.0,163295.66555498203,generic_battery_4hr,2026
2033,171639.291,87602.57307,1,87602.57307,171639.291,16169.11380233012,0.0,182781.23344129932,generic_battery_4hr,2026
2034,171639.291,89289.70442,1,89289.70442,171639.291,16169.11380233012,0.0,153016.00253625237,generic_battery_4hr,2026
2035,171639.291,87439.31567,1,87439.31567,171639.291,15398.07530237864,0.0,153924.8114620545,generic_battery_4hr,2026
2036,171639.291,87990.60511,1,87990.60511,171639.291,14627.03676368658,0.0,159665.2662408239,generic_battery_4hr,2026
2037,171639.291,91461.07727,1,91461.07727,171639.291,13855.998263735099,0.0,169235.2402912361,generic_battery_4hr,2026
2038,171639.291,96898.63074,1,96898.63074,171639.291,13084.959725043042,0.0,181942.95749061625,generic_battery_4hr,2026
2039,171639.291,103607.0638,1,103607.0638,171639.291,12313.92122509156,0.0,196384.6043693066,generic_battery_4hr,2026
2040,171639.291,111629.2501,1,111629.2501,171639.291,11542.882686399502,0.0,211339.08455616032,generic_battery_4hr,2026
2041,171639.291,111412.2484,1,111412.2484,171639.291,10771.84418644802,0.0,208686.8139697462,generic_battery_4hr,2026
2042,171639.291,114001.0597,1,114001.0597,171639.291,9136.53825195912,0.0,208884.88479469254,generic_battery_4hr,2026
2043,171639.291,116275.9999,1,116275.9999,171639.291,7501.23231747022,0.0,212403.02337283242,generic_battery_4hr,2026
2044,171639.291,120016.2146,1,120016.2146,171639.291,5865.926382981321,0.0,217364.69203297322,generic_battery_4hr,2026
2045,171639.291,124971.7112,1,124971.7112,171639.291,4230.62044849242,0.0,223536.14810346143,generic_battery_4hr,2026
2027,170801.166,57617.08913,1,57617.08913,170801.166,69544.53089311294,0.0,43639.54539977716,generic_battery_4hr,2027
2028,170801.166,63701.05933,1,63701.05933,170801.166,54802.64831306382,0.0,48615.10689436021,generic_battery_4hr,2027
2029,170801.166,72400.07895,1,72400.07895,170801.166,17439.248589082483,0.0,81110.78385476595,generic_battery_4hr,2027
2030,170801.166,78949.395,1,78949.395,170801.166,16169.11380233012,0.0,133933.53929432546,generic_battery_4hr,2027
2031,170801.166,80880.5771,1,80880.5771,170801.166,16169.11380233012,0.0,151149.38402900513,generic_battery_4hr,2027
2032,170801.166,82950.29696,1,82950.29696,170801.166,16169.11380233012,0.0,163295.66555498203,generic_battery_4hr,2027
2033,170801.166,87602.57307,1,87602.57307,170801.166,16169.11380233012,0.0,182781.23344129932,generic_battery_4hr,2027
2034,170801.166,89289.70442,1,89289.70442,170801.166,16169.11380233012,0.0,153016.00253625237,generic_battery_4hr,2027
2035,170801.166,87439.31567,1,87439.31567,170801.166,15398.07530237864,0.0,153924.8114620545,generic_battery_4hr,2027
2036,170801.166,87990.60511,1,87990.60511,170801.166,14627.03676368658,0.0,159665.2662408239,generic_battery_4hr,2027
2037,170801.166,91461.07727,1,91461.07727,170801.166,13855.998263735099,0.0,169235.2402912361,generic_battery_4hr,2027
2038,170801.166,96898.63074,1,96898.63074,170801.166,13084.959725043042,0.0,181942.95749061625,generic_battery_4hr,2027
2039,170801.166,103607.0638,1,103607.0638,170801.166,12313.92122509156,0.0,196384.6043693066,generic_battery_4hr,2027
2040,170801.166,111629.2501,1,111629.2501,170801.166,11542.882686399502,0.0,211339.08455616032,generic_battery_4hr,2027
2041,170801.166,111412.2484,1,111412.2484,170801.166,10771.84418644802,0.0,208686.8139697462,generic_battery_4hr,2027
2042,170801.166,114001.0597,1,114001.0597,170801.166,9136.53825195912,0.0,208884.88479469254,generic_battery_4hr,2027
2043,170801.166,116275.9999,1,116275.9999,170801.166,7501.23231747022,0.0,212403.02337283242,generic_battery_4hr,2027
