resource,vintage,Fixed Cost,Gen Cap Value,GHG Cost,GHG Value,Net Energy + AS Revenue,Total Value,% of Cost Recovery
generic_battery_4hr,2024,2454461.572415737,446124.8665625493,0.0,1849842.3257429232,1198170.9410721525,3494138.133377625,1.4235864079707774
generic_battery_4hr,2025,2382972.4004036277,384338.0222594719,0.0,1934474.515062005,1194290.3681277127,3513102.9054491892,1.4742524524640488
generic_battery_4hr,2026,2336868.437330555,321592.81641101255,0.0,2013289.5238543265,1201442.3043117889,3536324.644577128,1.5132750257077938
generic_battery_4hr,2027,2257725.5999457585,254228.87367896907,0.0,2087602.5964635666,1215517.8454091675,3557349.3155517033,1.5756340432323432
generic_battery_4hr,2028,2144709.347598585,196259.71831232627,0.0,2156720.8505206993,1225504.0234642639,3578484.5922972895,1.668517273123322
generic_battery_4hr,2029,1955634.9439774654,152325.07952132373,0.0,2219658.997127168,1230104.112703725,3602088.189352216,1.8419021405018026
generic_battery_4hr,2030,1783431.2442590708,140049.9535543434,0.0,2254342.0347406147,1227497.1197514227,3621889.108046381,2.0308543543270154
generic_battery_4hr,2031,1630355.8601010153,129135.01165763458,0.0,2246316.11586661,1219795.9680643722,3595247.095588617,2.2051916293697125
generic_battery_4hr,2032,1536649.463838688,118537.9806899561,0.0,2225329.4501539147,1210839.0314916223,3554706.462335493,2.3132838984992175
generic_battery_4hr,2033,1446947.6500339047,108249.60110968573,0.0,2195916.0723772547,1200602.910613256,3504768.5841001966,2.422180639374253
generic_battery_4hr,2034,1361242.0068550867,98260.8830705883,0.0,2153282.606096502,1187304.0259314724,3438847.5150985625,2.5262572693032173
generic_battery_4hr,2035,1287651.795004441,88563.09856661019,0.0,2132767.625346917,1173209.1674213363,3394539.891334864,2.6362250295493563
generic_battery_8hr,2036,2015370.0485645554,139659.70887875409,0.0,3444926.9859454865,1849793.940359287,5434380.635183528,2.69646789633207
generic_battery_8hr,2037,1926316.7365793276,127454.10085614007,0.0,3409027.590525301,1829799.6065538032,5366281.297935245,2.7857730746110123
generic_battery_8hr,2038,1840963.2825168506,115964.38609632877,0.0,3362333.999412305,1805887.6451273053,5284186.03063594,2.870337546011091
generic_battery_8hr,2039,1758916.0108834761,105159.21653972853,0.0,3302030.032049236,1776347.5561025986,5183536.804691562,2.9470064361333277
generic_battery_8hr,2040,1680086.4350534277,95008.46290905148,0.0,3227019.4780242867,1740372.8211611975,5062400.762094536,3.013178760611533
generic_battery_8hr,2041,1612762.8405534576,85483.17032873993,0.0,3137192.0825429135,1697046.1918511572,4919721.444722811,3.050492807134924
generic_battery_8hr,2042,1547878.440328507,76555.51540536968,0.0,3054374.05316538,1655852.1583074806,4786781.7268782295,3.0924791005308716
generic_battery_8hr,2043,1485377.3836464584,69569.40071496053,0.0,2976280.7075860733,1614840.9298473152,4660691.038148349,3.1377150948042587
generic_battery_8hr,2044,1425231.387548342,64419.30048037418,0.0,2898966.210815934,1574011.110729099,4537396.622025407,3.183621032813876
generic_battery_8hr,2045,1391189.1874806492,61004.18897802837,0.0,2820300.847764889,1531960.6057840642,4413265.642526981,3.1722972563631773
generic_solar,2024,1617394.5768563792,113224.67219747805,0.0,1025231.6278103971,773869.1696177721,1912325.4696256472,1.1823493765773008
generic_solar,2025,1573539.369249384,108450.38253588833,0.0,976737.4714813058,699185.5068886293,1784373.3609058233,1.1339871094277179
generic_solar,2026,1526889.4659336852,103610.14074064064,0.0,931310.5413836286,629613.1811756676,1664533.8632999368,1.090146929713791
generic_solar,2027,1478650.5007582607,93330.88797641448,0.0,888060.0420533197,563834.8770153053,1545225.8070450397,1.0450243693507282
generic_solar,2028,1413032.6947677839,79291.13308256638,0.0,848662.2735378266,503836.1293064458,1431789.5359268389,1.0132741735053323
generic_solar,2029,1338059.0531994076,69287.8025530217,0.0,815838.2886768752,452932.9672037201,1338059.058433617,1.0000000039117924
generic_solar,2030,1260006.5095143109,67562.01967969177,0.0,777749.6457406074,414694.8489125397,1260006.5143328388,1.0000000038242087
generic_solar,2031,1180926.5169804986,66262.77833234571,0.0,729396.1207405515,385267.6216066077,1180926.5206795048,1.0000000031322918
generic_solar,2032,1103716.9239177913,65001.378965990305,0.0,680362.5929329579,358352.95542969817,1103716.9273286464,1.000000003090335
generic_solar,2033,1031086.0511655769,63776.71938700448,0.0,633250.7204025469,334058.6147391846,1031086.054528736,1.0000000032617637
generic_solar,2034,961897.6963051076,62587.72950449397,0.0,587224.5658232037,312085.40493510064,961897.7002627982,1.0000000041144612
generic_solar,2035,896008.6314755878,61433.370395260456,0.0,551879.2902945345,290710.90212014486,904023.5628099397,1.0089451496925343
generic_solar,2036,831878.1193815444,60474.96625927034,0.0,510743.908041432,266736.159765339,837955.0340660413,1.0073050541214075
generic_solar,2037,773123.6097835789,59702.081554082026,0.0,472888.39255090774,245208.94669871152,777799.4208037013,1.0060479475221709
generic_solar,2038,722072.9551972356,59104.72234673142,0.0,438536.81111908006,226119.29613706,723760.8296028714,1.0023375399860737
generic_solar,2039,675943.3002718305,58673.319541243785,0.0,407857.9644689597,209412.01931301717,675943.3033232207,1.0000000045142694
generic_solar,2040,634415.4759057952,58398.71253591441,0.0,380991.08745826734,195025.6786636584,634415.47865784,1.000000004337922
generic_solar,2041,598752.7337643057,58272.133546723424,0.0,358055.4199448228,183276.826080415,599604.3795719612,1.0014223664621977
