,Year,GHG ($2022/tonne),Gen Capacity ($2022/kW-yr)
0,2024,206.43499,38.74058
1,2025,210.18043,38.74058
2,2026,213.92587,40.5469
3,2027,217.67131,38.74058
4,2028,221.41675,38.74058
5,2029,225.16219,38.74058
6,2030,228.90763,38.74058
7,2031,235.56047,38.74058
8,2032,236.81467,38.74058
9,2033,240.76819,38.74058
10,2034,244.72171,38.74058
11,2035,248.73933499999998,38.74058
12,2036,252.75696,38.74058
13,2037,256.774585,38.74058
14,2038,260.79220999999995,38.74058
15,2039,264.80983499999996,38.74058
16,2040,268.82746,38.74058
17,2041,274.77356,38.74058
18,2042,280.71966,38.74058
19,2043,286.66576,38.74058
20,2044,292.61186,38.74058
21,2045,298.55796,38.74058
22,2046,298.55796,38.74058
23,2047,298.55796,38.74058
24,2048,298.55796,38.74058
25,2049,298.55796,38.74058
26,2050,298.55796,38.74058
27,2051,298.55796,38.74058
28,2052,298.55796,38.74058
29,2053,298.55796,38.74058
30,2054,298.55796,38.74058
31,2055,298.55796,38.74058
32,2056,298.55796,38.74058
33,2057,298.55796,38.74058
34,2058,298.55796,38.74058
35,2059,298.55796,38.74058
36,2060,298.55796,38.74058
37,2061,298.55796,38.74058
38,2062,298.55796,38.74058
39,2063,298.55796,38.74058
40,2064,298.55796,38.74058
41,2065,298.55796,38.74058
42,2066,298.55796,38.74058
43,2067,298.55796,38.74058
44,2068,298.55796,38.74058
45,2069,298.55796,38.74058
46,2070,298.55796,38.74058
47,2071,298.55796,38.74058
48,2072,298.55796,38.74058
49,2073,298.55796,38.74058
50,2074,298.55796,38.74058
