resource,vintage,Fixed Cost,Gen Cap Value,GHG Cost,GHG Value,Net Energy + AS Revenue,Total Value,% of Cost Recovery
generic_battery_4hr,2024,2454461.572415737,254565.20035706068,0.0,2119945.9489245624,1198170.9410721525,3572682.090353776,1.455586891440904
generic_battery_4hr,2025,2382972.4004036277,228825.70134520213,0.0,2168319.547057486,1194290.3681277127,3591435.6165304007,1.5071243023721481
generic_battery_4hr,2026,2336868.437330555,203007.3004561564,0.0,2203776.317218367,1201442.3043117889,3608225.9219863126,1.5440432436616118
generic_battery_4hr,2027,2257725.5999457585,181246.1171088453,0.0,2232846.8237109687,1215517.8454091675,3629610.7862289813,1.6076403555490455
generic_battery_4hr,2028,2144709.347598585,166032.17715508485,0.0,2253807.8763384786,1225504.0234642639,3645344.0769578274,1.699691420210152
generic_battery_4hr,2029,1955634.9439774654,152325.07952132373,0.0,2264246.7449269346,1230104.112703725,3646675.9371519834,1.8647017677722595
generic_battery_4hr,2030,1783431.2442590708,140049.9535543434,0.0,2259638.501519496,1227497.1197514227,3627185.574825262,2.0338241726454567
generic_battery_4hr,2031,1630355.8601010153,129135.01165763458,0.0,2245919.9715309124,1219795.9680643722,3594850.9512529196,2.2049486490821617
generic_battery_4hr,2032,1536649.463838688,118537.9806899561,0.0,2226765.8688996388,1210839.0314916223,3556142.881081217,2.314218671705161
generic_battery_4hr,2033,1446947.6500339047,108249.60110968573,0.0,2205650.59244748,1200602.910613256,3514503.104170422,2.4289082636044714
generic_battery_4hr,2034,1361242.0068550867,98260.8830705883,0.0,2178620.4087128574,1187304.0259314724,3464185.317714918,2.5448710077044394
generic_battery_4hr,2035,1287651.795004441,88563.09856661019,0.0,2149316.4377519344,1173209.1674213363,3411088.703739881,2.649076960847258
generic_battery_8hr,2036,2015370.0485645554,139659.70887875409,0.0,3460847.5315180277,1849793.940359287,5450301.180756069,2.704367460773786
generic_battery_8hr,2037,1926316.7365793276,127454.10085614007,0.0,3417320.526504975,1829799.6065538032,5374574.233914918,2.7900781485493718
generic_battery_8hr,2038,1840963.2825168506,115964.38609632877,0.0,3365586.099666897,1805887.6451273053,5287438.130890531,2.87210406698708
generic_battery_8hr,2039,1758916.0108834761,105159.21653972853,0.0,3302829.112086302,1776347.5561025986,5184335.884728629,2.947460738687925
generic_battery_8hr,2040,1680086.4350534277,95008.46290905148,0.0,3228080.9892349485,1740372.8211611975,5063462.273305198,3.013810580015889
generic_battery_8hr,2041,1612762.8405534576,85483.17032873993,0.0,3141385.2917375974,1697046.1918511572,4923914.653917495,3.053092823138049
generic_battery_8hr,2042,1547878.440328507,76555.51540536968,0.0,3060851.8002949813,1655852.1583074806,4793259.474007832,3.0966640203287255
generic_battery_8hr,2043,1485377.3836464584,69569.40071496053,0.0,2984308.4906470827,1614840.9298473152,4668718.821209358,3.143119635865266
generic_battery_8hr,2044,1425231.387548342,64419.30048037418,0.0,2907898.454523153,1574011.110729099,4546328.865732626,3.1898882563575452
generic_battery_8hr,2045,1391189.1874806492,61004.18897802837,0.0,2829538.801599619,1531960.6057840642,4422503.596361712,3.178937585311866
generic_solar,2024,1617394.5768563792,78197.56555097083,0.0,1392015.0224761239,773869.1696177721,2244081.7576448666,1.3874670966230993
generic_solar,2025,1573539.369249384,77253.53500657622,0.0,1268361.1956179505,699185.5068886293,2044800.2375131561,1.299490993027124
generic_solar,2026,1526889.4659336852,76337.00049745524,0.0,1151485.5517865452,629613.1811756676,1857435.733459668,1.216483429155008
generic_solar,2027,1478650.5007582607,74117.76697882572,0.0,1039427.5499758176,563834.8770153053,1677380.1939699487,1.1343993682819424
generic_solar,2028,1413032.6947677839,71464.55009423732,0.0,936073.2141422677,503836.1293064458,1511373.8935429507,1.0695958410157864
generic_solar,2029,1338059.0531994076,69287.8025530217,0.0,847753.2464189178,452932.9672037201,1369974.0161756596,1.023851684946147
generic_solar,2030,1260006.5095143109,67562.01967969177,0.0,781002.7470462456,414694.8489125397,1263259.615638477,1.0025818169188825
generic_solar,2031,1180926.5169804986,66262.77833234571,0.0,729396.1197614684,385267.6216066077,1180926.5197004217,1.0000000023032112
generic_solar,2032,1103716.9239177913,65001.378965990305,0.0,681156.399221679,358352.95542969817,1104510.7336173675,1.0007192149385173
