,Year,GHG ($2022/tonne),Gen Capacity ($2022/kW-yr)
0,2024,23.203725,116.13839
1,2025,24.389856,125.06062
2,2026,25.69499,162.13305
3,2027,27.06102,195.39043
4,2028,33.21614,179.44213
5,2029,128.63447,38.74058
6,2030,196.44084,38.74058
7,2031,214.02872,38.74058
8,2032,226.35598,38.74058
9,2033,241.57973,38.74058
10,2034,188.60725,38.74058
11,2035,198.47371833333332,38.74058
12,2036,208.34018666666665,38.74058
13,2037,218.206655,38.74058
14,2038,228.07312333333334,38.74058
15,2039,237.93959166666667,38.74058
16,2040,247.80606,38.74058
17,2041,256.944404,38.74058
18,2042,266.082748,38.74058
19,2043,275.221092,38.74058
20,2044,284.35943599999996,38.74058
21,2045,293.49778,38.74058
22,2046,293.49778,38.74058
23,2047,293.49778,38.74058
24,2048,293.49778,38.74058
25,2049,293.49778,38.74058
26,2050,293.49778,38.74058
27,2051,293.49778,38.74058
28,2052,293.49778,38.74058
29,2053,293.49778,38.74058
30,2054,293.49778,38.74058
31,2055,293.49778,38.74058
32,2056,293.49778,38.74058
33,2057,293.49778,38.74058
34,2058,293.49778,38.74058
35,2059,293.49778,38.74058
36,2060,293.49778,38.74058
37,2061,293.49778,38.74058
38,2062,293.49778,38.74058
39,2063,293.49778,38.74058
40,2064,293.49778,38.74058
41,2065,293.49778,38.74058
42,2066,293.49778,38.74058
43,2067,293.49778,38.74058
44,2068,293.49778,38.74058
45,2069,293.49778,38.74058
46,2070,293.49778,38.74058
47,2071,293.49778,38.74058
48,2072,293.49778,38.74058
49,2073,293.49778,38.74058
50,2074,293.49778,38.74058
