resource,vintage,Fixed Cost,Gen Cap Value,GHG Cost,GHG Value,Net Energy + AS Revenue,Total Value,% of Cost Recovery
generic_battery_4hr,2024,1980036.79444555,505698.5378378217,0.0,1159927.0574937512,942421.707423366,2608047.302754939,1.3171711303906575
generic_battery_4hr,2025,1882235.8211771834,424849.66790269274,0.0,1222235.0902712364,918031.9750087359,2565116.733182665,1.3628030581090502
generic_battery_4hr,2026,1807287.6591961097,341439.2427136586,0.0,1282483.5965069914,904285.4600467862,2528208.2992674364,1.3988964548078615
generic_battery_4hr,2027,1709630.180481162,255071.17627980566,0.0,1338881.3675577734,897772.7130674571,2491725.256905036,1.4574644770272829
generic_battery_4hr,2028,1590147.6855782296,178042.0968259303,0.0,1391382.1424859518,888270.5977182027,2457694.837030085,1.545576463947364
generic_battery_4hr,2029,1419694.1863796965,115228.27418007652,0.0,1438085.8875688792,874748.389899963,2428062.5516489185,1.7102715323788291
generic_battery_4hr,2030,1267655.9064016845,104072.78736173142,0.0,1442205.4260896735,855792.0419415252,2402070.2553929305,1.8948913843752344
generic_battery_4hr,2031,1134659.15228458,94315.25576989088,0.0,1414583.2838407636,833404.8240950955,2342303.36370575,2.064323333566418
generic_battery_4hr,2032,1047118.4667498344,85039.68294217829,0.0,1379415.9488228792,810899.252121176,2275354.8838862334,2.172967965075374
generic_battery_4hr,2033,965410.075742794,76222.26324208264,0.0,1339789.5720424848,788258.1576534677,2204269.992938035,2.2832473456857727
generic_battery_4hr,2034,889267.354130286,67840.36687711097,0.0,1292771.8277425747,764070.5288756785,2124682.723495364,2.389250784510502
generic_battery_4hr,2035,823632.437895786,59872.48181972123,0.0,1266716.8259656944,740158.9449235926,2066748.2527090083,2.509308955811808
generic_battery_8hr,2036,1262198.9170545612,91849.47354595638,0.0,2023448.472951471,1145969.2918145964,3261267.2383120237,2.5837981591066828
generic_battery_8hr,2037,1181241.508333389,82028.3771625903,0.0,1978914.0608064546,1112585.3069636398,3173527.744932685,2.6866036475557045
generic_battery_8hr,2038,1105335.5205414705,72955.00833249543,0.0,1927516.1686461957,1077570.9738689624,3078042.1508476534,2.784712961490474
generic_battery_8hr,2039,1034027.5269102099,64579.46199108314,0.0,1867732.2287697743,1039773.3795258921,2972085.0702867494,2.8742804160810618
generic_battery_8hr,2040,967067.1291731052,56854.938801466305,0.0,1799159.2848126043,998746.2243349248,2854760.4479489955,2.951977543058433
generic_battery_8hr,2041,908936.4150678781,49737.56011876278,0.0,1722024.84921824,953999.7794963289,2725762.1888333317,2.998848042225017
generic_battery_8hr,2042,854157.2750370924,43186.193594926124,0.0,1649202.1735255078,912046.6524369473,2604435.019557381,3.0491281824465895
generic_battery_8hr,2043,802556.836109122,38061.12822366686,0.0,1579411.3586021129,871498.7928241612,2488971.2796499413,3.1013021977567714
generic_battery_8hr,2044,753984.412838267,34237.447450019026,0.0,1510341.7587297482,832303.2348258438,2376882.441005611,3.1524291491095617
generic_battery_8hr,2045,720611.4882537366,31599.09507978453,0.0,1440810.3107764237,793528.6027339874,2265938.0085901953,3.144465562270261
generic_solar,2024,1214752.9851255033,111377.41448772879,0.0,572651.5395854282,636213.0289090779,1320241.9829822348,1.086839875389014
generic_solar,2025,1157144.522565648,103659.61466291481,0.0,563745.0895227615,562033.9341805577,1229438.638366234,1.0624763064515863
generic_solar,2026,1099399.633572381,95680.71402694518,0.0,555177.0193472642,494274.82687232166,1145132.560246531,1.0415980916107328
generic_solar,2027,1042441.0907438667,81167.57263339181,0.0,546724.1640805745,431487.18042061315,1059378.9171345795,1.0162482336326806
generic_solar,2028,975385.2779753146,61261.20079686523,0.0,538846.3475734844,375277.731091353,975385.2794617027,1.0000000015238983
generic_solar,2029,904351.5029189035,45583.61674684674,0.0,530448.8153445101,328319.07171048166,904351.5038018385,1.0000000009763184
generic_solar,2030,833820.8890937843,43356.233913682496,0.0,497137.5724571425,293327.08313938597,833820.8895102111,1.00000000049942
generic_solar,2031,765175.145900221,41556.71077742857,0.0,457053.1502739077,266565.28468479705,765175.1457361333,0.9999999997855554
generic_solar,2032,700218.6610483672,39846.072410709385,0.0,417878.0652727515,242494.5237474691,700218.66143093,1.0000000005463476
generic_solar,2033,640484.8902552202,38219.928482499956,0.0,381165.1325921409,221099.82911188906,640484.8901865298,0.9999999998927526
generic_solar,2034,585033.6680899732,36674.105515648145,0.0,346318.3027788142,202041.2592495364,585033.6675439988,0.9999999990667642
generic_solar,2035,533583.2242990296,35204.636175700034,0.0,321360.525067352,183892.00418733235,540457.1654303845,1.0128826035345944
generic_solar,2036,485051.3004853626,33931.14490266926,0.0,292765.4808946255,164189.42480832434,490886.0506056191,1.0120291402464399
generic_solar,2037,441382.2927930645,32837.8567176655,0.0,266443.40833358123,146761.93316992882,446043.1982211756,1.010559792506892
generic_solar,2038,403631.49607066734,31910.076836427557,0.0,242547.80450672237,131514.66336318754,405972.5447063375,1.005799965211982
generic_solar,2039,369957.8396128533,31134.122519155917,0.0,221181.9326423653,118323.66284012093,370639.71800164215,1.0018431245827968
generic_solar,2040,339980.28512640775,30497.25889222399,0.0,202417.3091403086,107065.71696590325,339980.2849984358,0.9999999996235901
generic_solar,2041,314170.5503365577,29987.63869499947,0.0,186301.54112538314,97881.37037143581,314170.55019181845,0.9999999995392973
generic_solar,2042,291304.8692582888,29594.24571064061,0.0,172057.8740831178,89959.35737582952,291611.4771695879,1.0010525327368531
generic_solar,2043,268930.98725944693,28927.33451959056,0.0,159699.9122523522,83217.28014779897,271844.52691974177,1.0108337818932114
generic_solar,2044,252204.97508630736,28014.884953840858,0.0,149190.95326039667,77567.6815814315,254773.51979566904,1.0101843538513968
generic_solar,2045,236475.15983969392,26882.780095219583,0.0,140489.6102844496,72928.07914686708,240300.46952653624,1.0161763700231157
